"Candidate","Edad_partidos","Edad_cargo_publico","Edad","Edad_apoyo"
"GABRIEL BORIC","9","7","35","35.9784"
"JOSE ANTONIO KAST","1","19","55","1"
"YASNA PROVOSTE","63","7","52","73.7476"
"SEBASTIAN SICHEL","30.7084","7","44","30.7084"
"EDUARDO ARTES","6","0","70","6"
"MARCO ENRIQUEZ-OMINAMI","11","15","48","11"
"FRANCO ALDO PARISI","1","0","54","1"
"NULO BLANCO","","","",""
